Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Mouser Part Number,Digikey Description,Verified Pad Assignment,Centroid Not Specified,Verified Attributes,Digikey Part Number,Voltage,Verified Pin Names,Verified Geometry,Termination Style,Operating Temperature,Operating Force,Mechanical Life,"Actuator Height Off Pcb, From Pins",Standard Package,Temperature Range High,Outline,Temperature Range Low,Switch Function,Circuit,Contact Rating @ Voltage,Imported From,Mounting Type,Actuator Material,Packaging,Actuator Orientation,Actuator Type,Illumination,Other Names,Capacitance,Mfg Package Ident,Size Length,Keying To Mating Part,Circuits Loaded,Durability Mating Cycles Max,Flammability,Process Temperature Max C,Housing Color,Number Of Circuits,Product Name,Upc,Polarized To Pcb,Color   Resin,Overview,Net Weight,Size Width,First Mate  Last Break,Current Rating,Pc Tail Length,Csa,Sales Drawing,Application,Number Of Rows,Ipc Land Pattern Name,Pcb Locator,Gender,Polarized To Mating Part,Flammability Rating,Ul,Max Cycles At Max Process Temperature,Guide To Mating Part,Pin Pitch,Lock To Mating Part,Termination Interface Style,Circuits Maximum,Category,Glow Wire Compliant,Product Specification,Old Part Number,Category E7012A0Bd22E3Cc6,Pitch   Mating Interface,Plating Min   Termination,Current   Maximum Per Contact,Is Male,Number Of Contacts,Size Height,Pcb Retention,Orientation,Packaging Type,Duration At Max Process Temperature Seconds,Material   Metal,Stackable,Material   Plating Termination,Material   Plating Mating,Halogen Free Status,Lead Freeprocess Capability,Voltage   Maximum,Plating Min   Mating,Material   Resin,Breakaway,Voltage Rating Dc,Contact Plating,Surface Mount Compatible Smc,Pcb Thickness   Recommended,Temperature Range   Operating,Category 75Fab8F04590Ae3D,Category 0836C53C3D42D3F1,Color,Series,Shrouded,Is Connector,3D Model,Contact Material,Number Of Positions,Part Page,Mount,Number Of Pins,Pitch,Power,Resistance,Temperature Coefficient,Tolerance,Is Female,Conn 0 Type,Conn 3 Type,Conn 1 Type,Conn 2 Type,Verified Manufactured,Verified Pricing
2 AAA,PC BATTERY HOLDER (2) 'AAA',Keystone,2468,,BAT_HOLDER,0,534-2468,HOLDER BATTERY 2CELL AAA PC MNT,false,No,false,36-2468-ND,2AA,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Button 0 Reset,"6mm Tact Switch, Straight Termination, 160 grams actuation force",C&K,PTS645SM43SMTR92 LFS,,SW_SMT_6MM0_6MM0_TACT,2,611-PTS645SM43SMTR92,Tactile Switch SPST-NO Top Actuated Surface Mount,true,No,true,CKN9112CT-ND,12V,true,true,Gull Wing,-20°C ~ 60°C,160gf,"100,000 Cycles",4.30mm,"1,000",+60°C,6.00mm x 6.00mm,-20°C,Off-Mom,SPST-NO,0.05A @ 12VDC,PartsBot,Surface Mount,"Polyamide (PA66), Nylon 6/6",Cut Tape (CT),Top Actuated,Standard,Non-Illuminated,CKN9112CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1 C11,0.1µF ±10% 10V Ceramic Capacitor X7R 0603 (1608 Metric),Kemet,C0603C104K8RACTU,,0603,2,80-C0603C104K8R,CAP CER 0.1UF 10V X7R 0603,true,No,true,399-1095-1-ND,10V,true,true,,,,,,,+125°C,,-55°C,,,,,,,,,,,,100.0nF,C0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10,"220µF 6.3V Aluminum Electrolytic Capacitors Radial, Can - SMD 1000 Hrs @ 105°C",Panasonic,EEE-HA0J221WP,,RADIAL,1,667-EEE-HA0J221WP,CAP ALUM 220UF 20% 6.3V SMD,true,No,true,PCE4161CT-ND,6.3V,true,true,,,,,,,+105°C,,-40°C,,,,,,,,,,,,220.0µF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1 D10 D12 D13 D14 D15 D16 D17 D18 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D3 D30 D31 D32 D33 D34 D35 D36 D4 D5 D6 D7 D8 D9,SML-E1 SERIES,ROHM,SMLE12WBC7W1,,0603,34,755-SMLE12WBC7W1,LED WHITE DIFFUSED 0603 SMD,false,No,false,511-1602-2-ND,,false,false,,,,,,,-30°C,,+85°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D11 D38 D41,Blue 470nm LED Indication - Discrete 2.8V 0603 (1608 Metric),Lite-On Inc.,LTST-C193TBKT-5A,,0603,3,859-LTSTC193TBKT5A,LED BLUE CLEAR 0603 SMD,true,No,true,160-1827-1-ND,,true,true,,,,,,,+80°C,,-20°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D29 D39 D40,EXCELED™ series chip LED,ROHM,SML-D12V8WT86,,0603 (1608 metric),3,755-SML-D12V8WT86,LED RED DIFFUSED 0603 SMD,true,No,true,511-1581-1-ND,,true,true,,,,,,,+85°C,,-40°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D37 D42,Standard LEDs - SMD SMD Yellow/Green 10-63 mcd,ROHM,SML-D12M8WT86,,0603 (1608 metric),2,755-SML-D12M8WT86,LED GREEN DIFFUSED 0603 SMD,true,No,true,511-1578-1-ND,,true,true,,,,,,,+85°C,,-40°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1 J2 J3 J4,"Header - 5 pin, 0.1"" pitch",,1x5 Header,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5,"KK® 254 Breakaway Header, Vertical, 4 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 6.09mm",Molex,22-28-4043,Newark 56H1971,CONN_PTH_HDR4,0,538-22-28-4043,CONN HEADER 4POS .100 VERT GOLD,true,Yes,true,WM50016-04-ND,250V,true,true,,,,,,,+80°C,,-40°C,,,,3D Model,through hole,,,,,,,,SD-42375-001,10.16 mm,None,4,100,94V-0,260,Black,4 ,KK® 254,800754386197,No,Black,KK® Interconnect System - Molex,0.244/g,2.49 mm,No,4 A,3.18mm,LR19980,SD-42375-001,"Board-to-Board, Signal, Wire-to-Board",1,HDRV4W66P254_1X4_1016X66X457,No,Male,No,UL 94 V-0,E29179,001,No,2.54 mm,None,Through Hole,4,PCB Headers,No,PS-10-07,42375-0039,Headers & Receptacles,2.54mm,2.540μm,4.0A,yes,4 ,2.29 mm,None,Vertical,Bag,005,Brass,No,Tin,Gold,Not Low Halogen,WAVE,250V,0.381μm,High Temperature Thermoplastic,Yes,250 V,Gold,Yes,1.60mm,See Product Specification,Connectors and Adapters,Connectors,Black,42375,No,yes,http://www.molex.com/pdm_docs/stp/22-28-4043_stp.zip,Brass,4 ,http://www.molex.com/molex/products/datasheet.jsp?part=active/0022284043_PCB_HEADERS.xml,,,,,,,,,,,,,,
J7 J6,"3 pin Header, 0.1"" / 2.54mm Pitch, Through-hole, Generic",Generic,3 Pin Header,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through-hole,3,"0.1"" / 2.54mm",,,,,,,,,,,
Power,Sub-Miniature Slide Switch - RIGHT ANGLE SURFACE MOUNT SPDT,C&K,JS102011SAQN,,SMT_SWITCH_9MM_3.6MM,1,611-JS102011SAQN,"Slide Switch SPDT Surface Mount, Right Angle",true,No,true,401-1999-1-ND,,true,true,,,,,,,+85°C,,-40°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1 R2 R3 R4 R5 R6 R7,GENERAL PURPOSE CHIP RESISTORS,YAGEO,RC1206JR-07220RL,,1206 (3216 metric),7,603-RC1206JR-07220RL,RES SMD 220 OHM 5% 1/4W 1206,true,No,true,311-220ERCT-ND,200V,true,true,,,,,,,+155°C,,-55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESC320160X55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250mW,220Ω,±100ppm/°C,±5%,,,,,,,
R18,GENERAL PURPOSE CHIP RESISTORS,YAGEO,RC0603FR-0710KL,,0603,1,603-RC0603FR-0710KL,RES SMD 10K OHM 1% 1/10W 0603,true,No,true,311-10.0KHRCT-ND,,true,true,,,,,,,+155°C,,-55°C,,,,,,,,,,,,,0710KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10K,,,,,,,,,
U103,DC26 Shitty Addon Connector,BadgePirates,DC26,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HDRV4W64P254_2X2_500X64X457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,power,passive,I/O,I/O,,
U112,WIFI module,Espressif,ESP-WROOM-32,,MOD_SMT,1,485-3320,SPRESSIF ESP32 BLUETOOTH WIFI M,true,No,true,1188-1178-ND,,true,true,,,,,,,+85°C,,-40°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false
